Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
122Sn	Sn	122	4.6	5.74	5.74	0.0	0	0	0	4.14	0	4.14	0.18
124Sn	Sn	124	5.6	5.97	5.97	0.0	0	0	0	4.48	0	4.48	0.133
Sb	Sb	---	---	5.57	5.57	0.0	---	---	---	3.9	0.007	3.9	4.91
121Sb	Sb	121	57.3	5.71	5.71	0.0	-0.05	-0.05	0.0	4.1	0.0003	4.1	5.75
123Sb	Sb	123	42.7	5.38	5.38	0.0	-0.10	-0.10	0.0	3.64	0.001	3.64	3.8
Te	Te	---	---	5.80	5.80	0.0	---	---	---	4.23	0.09	4.32	4.7
120Te	Te	120	0.096	5.3	5.3	0.0	0	0	0	3.5	0	3.5	2.3
122Te	Te	122	2.6	3.8	3.8	0.0	0	0	0	1.8	0	1.8	3.4
123Te	Te	123	0.908	-0.05-0.116i	-0.05	0.0	-2.04	-2.04	0.0	0.002	0.52	0.52	418.(30.)
124Te	Te	124	4.816	7.96	7.96	0.0	0	0	0	8	0	8	6.8(1.3)
125Te	Te	125	7.14	5.02	5.02	0.0	-0.26	-0.26	0.0	3.17	0.008	3.18	1.55
126Te	Te	126	18.95	5.56	5.56	0.0	0	0	0	3.88	0	3.88	1.04
128Te	Te	128	31.69	5.89	5.89	0.0	0	0	0	4.36	0	4.36	0.215
130Te	Te	130	33.8	6.02	6.02	0.0	0	0	0	4.55	0	4.55	0.29
I	I	---	100	5.28	5.28	0.0	1.58	1.58	0.0	3.5	0.31	3.81	6.15
