Element	A	Atomic_mass (u)	Abundance										
Se	74	73.922476	0.0089										
Se	75	74.922523	---										
Se	76	75.919214	0.094										
Se	77	76.919914	0.076										
Se	78	77.917309	0.238										
Se	79	78.918499	---										
Se	80	79.916521	0.496										
Se	81	80.917992	---										
Se	82	81.916699	0.087										
Se	83	82.919118	---										
Br	77	76.921379	---										
Br	78	77.921146	---										
Br	79	78.918337	0.5069										
Br	80	79.918529	---										
Br	81	80.916291	0.4931										
Br	82	81.916804	---										
Br	83	82.915180	---										
Kr	76	75.925910	---										
Kr	77	76.924670	---										
Kr	78	77.920365	0.0035										
Kr	79	78.920082	---										
Kr	80	79.916379	0.0228										
Kr	81	80.916592	---										
Kr	82	81.913484	0.1158										
Kr	83	82.914136	0.1149										
Kr	84	83.911507	0.57										
Kr	85	84.912527	---										
Kr	86	85.910611	0.173										
Kr	87	86.913355	---										
Rb	83	82.915110	---										
Rb	84	83.914385	---										
Rb	85	84.911790	0.7217										
Rb	86	85.911167	---										
Rb	87	86.909181	0.2783										
Rb	88	87.911316	---										
Sr	82	81.918402	---										
Sr	83	82.917557	---										
Sr	84	83.913425	0.0056										
Sr	85	84.912933	---										
Sr	86	85.909260	0.0986										
Sr	87	86.908877	0.07										
Sr	88	87.905612	0.8258										
Sr	89	88.907451	---										
Sr	90	89.907738	---										
Y	87	86.910876	---										
Y	88	87.909501	---										
Y	89	88.905848	1										
Y	90	89.907152	---										
Y	91	90.907305	---										
Zr	88	87.910227	---										
Zr	89	88.908890	---										
Zr	90	89.904704	0.5145										
Zr	91	90.905646	0.1122										
Zr	92	91.905041	0.1715										
Zr	93	92.906476	---										
Zr	94	93.906315	0.1738										
Zr	95	94.908043	---										
Zr	96	95.908273	0.028										
Zr	97	96.910953	---										
Nb	91	90.906996	---										
Nb	92	91.907194	---										
Nb	93	92.906378	1										
Nb	94	93.907284	---										
Nb	95	94.906836	---										
Mo	90	89.913937	---										
Mo	91	90.911750	---										
Mo	92	91.906811	0.148										
Mo	93	92.906813	---										
Mo	94	93.905088	0.093										
Mo	95	94.905842	0.159										
Mo	96	95.904679	0.167										
Mo	97	96.906021	0.096										
Mo	98	97.905408	0.241										
Mo	99	98.907712	---										
Mo	100	99.907477	0.096										
Mo	101	100.910347	---										
Te	95	94.907657	---										
Te	96	95.907871	---										
Te	97	96.906365	---										
Te	98	97.907216	---										
