Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
20	Ca	40	39.962591	96.941	4.80	0.02	0	0	0	0	0.41	0.02	0	0	1	
20	Ca	42	41.958618	0.647	3.36	0.1	0	0	0	0	0.68	0.07	0	0	1	
20	Ca	43	42.958767	0.135	-1.56	0.09	---	0	---	0	6.2	0.6	0.5	5	0.1	
20	Ca	44	43.955482	2.086	1.42	0.06	0	0	0	0	0.88	0.05	0	0	1	
20	Ca	46	45.953693	0.004	3.6	0.2	0	0	0	0	0.74	0.07	0	0	1	
20	Ca	48	47.952534	0.187	0.39	0.09	0	0	0	0	1.09	0.14	0	0	1	
21	Sc	---	44.955912	100	12.29	0.11	-6.0	0.3	0.0	0	27.5	0.2	4.5	5	0.1	
22	Ti	---	47.867	---	-3.438	0.002	---	0	---	0	6.09	0.13	2.87	3	0.01	
22	Ti	46	45.952632	8.2	4.93	0.06	0	0	0	0	0.59	0.18	0	0	1	
22	Ti	47	46.951763	7.4	3.63	0.12	-3.5	0.2	0.0	0	1.7	0.2	1.5	2	0.1	
22	Ti	48	47.947946	73.8	-6.08	0.02	0	0	0	0	7.84	0.25	0	0	1	
22	Ti	49	48.947870	5.4	1.04	0.05	5.1	0.2	0.0	0	2.2	0.3	3.3	3	0.1	
22	Ti	50	49.944791	5.2	6.18	0.08	0	0	0	0	0.179	0.003	0	0	1	
23	V	---	50.9415	---	-0.3824	0.0012	---	0	---	0	5.08	0.04	5.08	6	0.01	
23	V	50	49.947158	0.25	7.6	0.6	---	0	---	0	60	40	0.5	5	0.1	
23	V	51	50.943960	99.75	-0.402	0.002	6.35	0.04	0.0	0	4.9	0.1	5.07	6	0.01	
24	Cr	---	51.9961	---	3.635	0.007	---	0	---	0	3.05	0.08	1.83	2	0.01	
24	Cr	50	49.946044	4.35	-4.50	0.05	0	0	0	0	15.8	0.2	0	0	1	
24	Cr	52	51.940507	83.79	4.920	0.01	0	0	0	0	0.76	0.06	0	0	1	
24	Cr	53	52.940649	9.5	-4.20	0.03	6.87	0.1	0.0	0	18.1	1.5	5.93	17	0.01	
24	Cr	54	53.938880	2.36	4.55	0.1	0	0	0	0	0.36	0.04	0	0	1	
25	Mn	---	54.938045	100	-3.73	0.02	1.79	0.04	0.0	0	13.3	0.2	0.40	2	0.01	
26	Fe	---	55.845	---	9.45	0.02	---	0	---	0	2.56	0.03	0.40	11	0.01	
26	Fe	54	53.939611	5.8	4.2	0.1	0	0	0	0	2.25	0.18	0	0	1	
26	Fe	56	55.934937	91.7	9.94	0.03	0	0	0	0	2.59	0.14	0	0	1	
26	Fe	57	56.935394	2.2	2.3	0.1	---	0	---	0	2.48	0.3	0.3	3	0.1	
26	Fe	58	57.933276	0.3	15.	7	0	0	0	0	1.28	0.05	0	0	1	
27	Co	---	58.933195	100	2.49	0.02	-6.2	0.2	0.0	0	37.18	0.06	4.8	3	0.1	
28	Ni	---	58.6934	---	10.3	0.1	---	0	---	0	4.49	0.16	5.2	4	0.1	
28	Ni	58	57.935343	68.27	14.4	0.1	0	0	0	0	4.6	0.3	0	0	1	
28	Ni	60	59.930786	26.1	2.8	0.1	0	0	0	0	2.9	0.2	0	0	1	
28	Ni	61	60.931056	1.13	7.60	0.06	3.9	0.3	0.0	0	2.5	0.8	1.9	3	0.1	
28	Ni	62	61.928345	3.59	-8.7	0.2	0	0	0	0	14.5	0.3	0	0	1	
28	Ni	64	63.927966	0.91	-0.37	0.07	0	0	0	0	1.52	0.03	0	0	1	
29	Cu	---	63.546	---	7.718	0.004	---	0	---	0	3.78	0.02	0.55	3	0.01	
29	Cu	63	62.929597	69.17	6.43	0.15	0.22	0.02	0.0	0	4.50	0.02	0.006	1	0.001	
29	Cu	65	64.927789	30.83	10.61	0.19	1.79	0.1	0.0	0	2.17	0.03	0.40	4	0.01	
30	Zn	---	65.409	---	5.680	0.005	---	0	---	0	1.11	0.02	0.077	7	0.001	
30	Zn	64	63.929142	48.6	5.22	0.04	0	0	0	0	0.93	0.09	0	0	1	
30	Zn	66	65.926033	27.9	5.97	0.05	0	0	0	0	0.62	0.06	0	0	1	
