Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
66	Dy	161	160.926933	19	10.3	0.4	4.9	0.8	0.0	0	600	25	3.	1	0.	
66	Dy	162	161.926798	25.5	-1.4	0.5	0	0	0	0	194	10	0	0	1	
66	Dy	163	162.928731	24.9	5.0	0.4	1.3	0.3	0.0	0	124	7	0.21	10	0.01	
66	Dy	164	163.929175	28.1	49.4	0.2	0	0	0	0	2840	40	0	0	1	
67	Ho	---	164.93032	100	8.01	0.08	-1.70	0.08	0.0	0	64.7	1.2	0.36	3	0.01	
68	Er	---	167.259	---	7.79	0.02	---	0	---	0	159	4	1.1	3	0.1	
68	Er	162	161.928778	0.14	8.8	0.2	0	0	0	0	19	2	0	0	1	
68	Er	164	163.929200	1.56	8.2	0.2	0	0	0	0	13	2	0	0	1	
68	Er	166	165.930293	33.4	10.6	0.2	0	0	0	0	19.6	1.5	0	0	1	
68	Er	167	166.932048	22.9	3.0	0.3	1.0	0.3	0.0	0	659	16	0.13	8	0.01	
68	Er	168	167.932370	27.1	7.4	0.4	0	0	0	0	2.74	0.08	0	0	1	
68	Er	170	169.935464	14.9	9.6	0.5	0	0	0	0	5.8	0.3	0	0	1	
69	Tm	---	168.93421	100	7.07	0.03	0.9	0.3	0.0	0	100	2	0.10	7	0.01	
70	Yb	---	173.04	---	12.43	0.03	---	0	---	0	34.8	0.8	4.0	2	0.1	
70	Yb	168	167.933897	0.14	-4.07	0.02	0	0	0	0	2230	40	0	0	1	
70	Yb	170	169.934762	3.06	6.77	0.1	0	0	0	0	11.4	1	0	0	1	
70	Yb	171	170.936326	14.3	9.66	0.1	-5.59	0.17	0.0	0	48.6	2.5	3.9	2	0.1	
70	Yb	172	171.936381	21.9	9.43	0.1	0	0	0	0	0.8	0.4	0	0	1	
70	Yb	173	172.938211	16.1	9.56	0.07	-5.3	0.2	0.0	0	17.1	1.3	3.5	3	0.1	
70	Yb	174	173.938862	31.8	19.3	0.1	0	0	0	0	69.4	5	0	0	1	
70	Yb	176	175.942572	12.7	8.72	0.1	0	0	0	0	2.85	0.05	0	0	1	
71	Lu	---	174.967	---	7.21	0.03	---	0	---	0	74	2	0.7	4	0.1	
71	Lu	175	174.940772	97.39	7.24	0.03	2.2	0.7	0.0	0	21	3	0.6	4	0.1	
71	Lu	176	175.942686	2.61	6.1	0.1	3.0	0.4	0.61	0.01	2065	35	1.2	3	0.1	
72	Hf	---	178.49	---	7.7	1.4	---	0	---	0	104.1	0.5	2.6	5	0.1	
72	Hf	174	173.940046	0.2	10.9	1.1	0	0	0	0	561	35	0	0	1	
72	Hf	176	175.941409	5.2	6.61	0.18	0	0	0	0	23.5	3.1	0	0	1	
72	Hf	177	176.943221	18.6	0.8	1	0.9	1.3	0.0	0	373	10	0.1	3	0.1	
72	Hf	178	177.943699	27.1	5.9	0.2	0	0	0	0	84	4	0	0	1	
72	Hf	179	178.945816	13.7	7.46	0.16	1.06	0.08	0.0	0	41	3	0.14	2	0.01	
72	Hf	180	179.946550	35.2	13.2	0.3	0	0	0	0	13.04	0.07	0	0	1	
73	Ta	---	180.9479	---	6.91	0.07	---	0	---	0	20.6	0.5	0.01	17	0.01	
73	Ta	180	179.947465	0.012	7.	2	---	0	---	0	563	60	0.5	5	0.1	
73	Ta	181	180.947996	99.988	6.91	0.07	-0.29	0.03	0.0	0	20.5	0.5	0.011	2	0.001	
74	W	---	183.84	---	4.86	0.02	---	0	---	0	18.3	0.2	1.63	6	0.01	
74	W	180	179.946704	0.1	5.	3	0	0	0	0	30	20	0	0	1	
74	W	182	181.948204	26.3	6.97	0.04	0	0	0	0	20.7	0.5	0	0	1	
74	W	183	182.950223	14.3	6.53	0.04	---	0	---	0	10.1	0.3	0.3	3	0.1	
74	W	184	183.950931	30.7	7.48	0.06	0	0	0	0	1.7	0.1	0	0	1	
74	W	186	185.954364	28.6	-0.72	0.04	0	0	0	0	37.9	0.6	0	0	1	
75	Re	---	186.207	---	9.2	0.2	---	0	---	0	89.7	1	0.9	6	0.1	
75	Re	185	184.952955	37.4	9.0	0.3	2.0	1.8	0.0	0	112	2	0.5	9	0.1	
75	Re	187	186.955753	62.6	9.3	0.3	2.8	1.1	0.0	0	76.4	1	1.0	8	0.1	
76	Os	---	190.23	---	10.7	0.2	---	0	---	0	16	4	0.3	8	0.1	
76	Os	184	183.952489	0.02	10.	2	0	0	0	0	3000	150	0	0	1	
76	Os	186	185.953838	1.58	11.6	1.7	0	0	0	0	80	13	0	0	1	
76	Os	187	186.955750	1.6	10.	2	---	0	---	0	320	10	0.3	3	0.1	
76	Os	188	187.955838	13.3	7.6	0.3	0	0	0	0	4.7	0.5	0	0	1	
76	Os	189	188.958147	16.1	10.7	0.3	---	0	---	0	25	4	0.5	5	0.1	
76	Os	190	189.958447	26.4	11.0	0.3	0	0	0	0	13.1	0.3	0	0	1	
76	Os	192	191.961481	41	11.5	0.4	0	0	0	0	2.0	0.1	0	0	1	
77	Ir	---	192.217	---	10.6	0.3	---	0	---	0	425	2	0.	3	1.	
77	Ir	191	190.960594	37.3	---	---	---	0	---	0	954	10	---	---	---	
77	Ir	193	192.962926	62.7	---	---	---	0	---	0	111	5	---	---	---	
78	Pt	---	195.084	---	9.60	0.01	---	0	---	0	10.3	0.3	0.13	11	0.01	
78	Pt	190	189.959932	0.01	9.0	1	0	0	0	0	152	4	0	0	1	
78	Pt	192	191.961038	0.79	9.9	0.5	0	0	0	0	10.0	2.5	0	0	1	
78	Pt	194	193.962680	32.9	10.55	0.08	0	0	0	0	1.44	0.19	0	0	1	
78	Pt	195	194.964791	33.8	8.83	0.11	-1.00	0.17	0.0	0	27.5	1.2	0.13	4	0.01	
78	Pt	196	195.964952	25.3	9.89	0.08	0	0	0	0	0.72	0.04	0	0	1	
78	Pt	198	197.967893	7.2	7.8	0.1	0	0	0	0	3.66	0.19	0	0	1	
79	Au	---	196.966569	100	7.63	0.06	-1.84	0.1	0.0	0	98.65	0.09	0.43	5	0.01	
80	Hg	---	200.59	---	12.692	0.015	---	0	---	0	372.3	4	6.6	1	0.1	
80	Hg	196	195.965833	0.2	30.3	1	0	0	0	0	3080	180	0	0	1	
80	Hg	198	197.966769	10.1	---	---	0	0	0	0	2.0	0.3	0	0	1	
80	Hg	199	198.968280	17	16.9	0.4	15.5	0.8	0.0	0	2150	48	30.	3	01.	
80	Hg	200	199.968326	23.1	---	---	0	0	0	0	---	0	0	0	1	
80	Hg	201	200.970302	13.2	---	---	---	0	---	0	7.8	2	---	---	---	
80	Hg	202	201.970643	29.6	---	---	0	0	0	0	4.89	0.05	0	0	1	
80	Hg	204	203.973494	6.8	---	---	0	0	0	0	0.43	0.1	0	0	1	
81	Tl	---	204.3833	---	8.776	0.005	---	0	---	0	3.43	0.06	0.21	15	0.01	
81	Tl	203	202.972344	29.524	6.99	0.16	1.06	0.14	0.0	0	11.4	0.2	0.14	4	0.01	
81	Tl	205	204.974428	70.476	9.52	0.07	-0.242	0.017	0.0	0	0.104	0.017	0.007	1	0.001	
82	Pb	---	207.2	---	9.405	0.003	---	0	---	0	0.171	0.002	0.0030	7	0.0001	
82	Pb	204	203.973044	1.4	9.90	0.1	0	0	0	0	0.65	0.07	0	0	1	
82	Pb	206	205.974465	24.1	9.22	0.05	0	0	0	0	0.0300	0.0008	0	0	1	
82	Pb	207	206.975897	22.1	9.28	0.04	0.14	0.06	0.0	0	0.699	0.01	0.002	2	0.001	
82	Pb	208	207.976652	52.4	9.50	0.02	0	0	0	0	0.00048	0.00003	0	0	1	
83	Bi	---	208.9804	100	8.532	0.002	0.259	0.015	0.0	0	0.0338	0.0007	0.0084	10	0.0001	
84	Po	---	---	---	---	---	---	0	---	0	---	0	---	---	---	
85	At	---	---	---	---	---	---	0	---	0	---	0	---	---	---	
86	Rn	---	---	---	---	---	---	0	---	0	---	0	---	---	---	
87	Fr	---	---	---	---	---	---	0	---	0	---	0	---	---	---	
88	Ra	---	---	---	10.0	1	0	0	0	0	12.8	1.5	0	0	1	
89	Ac	---	---	---	---	---	---	0	---	0	---	0	---	---	---	
90	Th	---	232.03806	100	10.31	0.03	0	0	0	0	7.37	0.06	0	0	1	
91	Pa	---	231.03588	---	9.1	0.3	---	0	---	0	200.6	2.3	0.1	33	0.1	
92	U	---	238.02891	---	8.417	0.005	---	0	---	0	7.57	0.02	0.005	16	0.001	
92	U	233	233.039635	---	10.1	0.2	1	3	0.0	0	574.7	1	0.1	6	0.1	
92	U	234	234.040952	0.005	12.4	0.3	0	0	0	0	100.1	1.3	0	0	1	
92	U	235	235.043930	0.72	10.47	0.04	1.3	0.6	0.0	0	680.9	1.1	0.2	2	0.1	
92	U	238	238.050788	99.275	8.402	0.005	0	0	0	0	2.68	0.02	0	0	1	
93	Np	---	---	---	10.55	0.1	---	0	---	0	175.9	2.9	0.5	5	0.1	
94	Pu	---	---	---	---	---	---	0	---	0	---	0	---	---	---	
94	Pu	238	238.049560	---	14.1	0.5	0	0	0	0	558	7	0	0	1	
94	Pu	239	239.052163	---	7.7	0.1	1.3	1.9	0.0	0	1017.3	2.1	0.2	6	0.1	
94	Pu	240	240.053814	---	3.5	0.1	0	0	0	0	289.6	1.4	0	0	1	
94	Pu	242	242.058743	---	8.1	0.1	0	0	0	0	18.5	0.5	0	0	1	
95	Am	---	---	---	8.3	0.2	2	7	0.0	0	75.3	1.8	0.3	26	0.1	
96	Cm	---	---	---	---	---	---	0	---	0	---	0	---	---	---	
96	Cm	244	245.065491	---	9.5	0.3	0	0	0	0	16.2	1.2	0	0	1	
96	Cm	246	246.067224	---	9.3	0.2	0	0	0	0	1.36	0.17	0	0	1	
96	Cm	248	248.072349	---	7.7	0.2	0	0	0	0	3.00	0.26	0	0	1	
